INFO     | 2015-08-27 13:32:56,336 | progress   | Finished subset 44/133, 33.08 percent done
INFO     | 2015-08-27 13:32:58,284 | progress   | Finished subset 45/133, 33.83 percent done
INFO     | 2015-08-27 13:33:08,028 | progress   | Finished subset 46/133, 34.59 percent done
INFO     | 2015-08-27 13:33:15,239 | progress   | Finished subset 47/133, 35.34 percent done
INFO     | 2015-08-27 13:33:24,137 | progress   | Finished subset 48/133, 36.09 percent done
INFO     | 2015-08-27 13:33:29,541 | progress   | Finished subset 49/133, 36.84 percent done
INFO     | 2015-08-27 13:33:36,267 | progress   | Finished subset 50/133, 37.59 percent done
INFO     | 2015-08-27 13:33:39,213 | progress   | Finished subset 51/133, 38.35 percent done
INFO     | 2015-08-27 13:33:41,625 | progress   | Finished subset 52/133, 39.10 percent done
INFO     | 2015-08-27 13:33:47,157 | progress   | Finished subset 53/133, 39.85 percent done
INFO     | 2015-08-27 13:33:52,580 | progress   | Finished subset 54/133, 40.60 percent done
INFO     | 2015-08-27 13:33:55,856 | progress   | Finished subset 55/133, 41.35 percent done
INFO     | 2015-08-27 13:33:58,606 | progress   | Finished subset 56/133, 42.11 percent done
INFO     | 2015-08-27 13:34:03,976 | progress   | Finished subset 57/133, 42.86 percent done
INFO     | 2015-08-27 13:34:07,573 | progress   | Finished subset 58/133, 43.61 percent done
INFO     | 2015-08-27 13:34:13,515 | progress   | Finished subset 59/133, 44.36 percent done
INFO     | 2015-08-27 13:34:22,492 | progress   | Finished subset 60/133, 45.11 percent done
INFO     | 2015-08-27 13:34:29,088 | progress   | Finished subset 61/133, 45.86 percent done
INFO     | 2015-08-27 13:34:34,511 | progress   | Finished subset 62/133, 46.62 percent done
INFO     | 2015-08-27 13:34:39,907 | progress   | Finished subset 63/133, 47.37 percent done
INFO     | 2015-08-27 13:34:43,628 | progress   | Finished subset 64/133, 48.12 percent done
INFO     | 2015-08-27 13:34:50,234 | progress   | Finished subset 65/133, 48.87 percent done
INFO     | 2015-08-27 13:34:55,329 | progress   | Finished subset 66/133, 49.62 percent done
INFO     | 2015-08-27 13:35:04,667 | progress   | Finished subset 67/133, 50.38 percent done
INFO     | 2015-08-27 13:35:08,988 | progress   | Finished subset 68/133, 51.13 percent done
